"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL55993";"";"0";"307.35";"0";"3.81";"39";"Cc1cc(C)c(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(C)c1";"IC50";"'='";"24000.0";"nM";"4.62";"";"";"UO_0000065";"15.03";"0.27";"0.81";"5.68";"False";"CHEMBL676152";"In vitro inhibition of HER1 autophosphorylation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None"
"CHEMBL4098587";"";"0";"445.88";"0";"4.63";"6a";"CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"17.43";"0.34";"3.14";"7.38";"False";"CHEMBL4011794";"Inhibition of EGFR (unknown origin) measured after 40 mins by Kinase Glo luminescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4011588";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None"
"CHEMBL1766529";"";"0";"473.46";"0";"4.44";"21b";"CC(=O)N1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3c2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1768692";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765011";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None"
"CHEMBL2315406";"";"0";"445.56";"0";"3.76";"8";"CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@H](C)O)C2=O)[C@@H]1C";"IC50";"'>'";"200.0";"ug.mL-1";"";"Outside typical range";"";"UO_0000274";"";"";"";"";"False";"CHEMBL2318217";"Inhibition of EGFR (unknown origin) by Z-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2311476";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None"
"CHEMBL57462";"";"0";"227.18";"0";"0.85";"16";"N#CC(C#N)=C1C(=O)Nc2cc(O)c(O)cc21";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"24.66";"0.45";"4.75";"4.78";"False";"CHEMBL763200";"Inhibition of polyGAT phosphorylation";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None"
"CHEMBL193456";"";"0";"432.45";"0";"3.17";"2p";"CN(C)S(=O)(=O)c1ccc(Nc2ccc(C(=O)c3c(F)cccc3F)c(N)n2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL827663";"In vitro inhibitory concentration against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144370";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"None"
"CHEMBL193643";"";"0";"404.40";"0";"2.56";"2r";"Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)ccc1C(=O)c1c(F)cccc1F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL827663";"In vitro inhibitory concentration against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144370";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"None"
"CHEMBL120667";"";"0";"286.77";"0";"3.98";"48";"Cc1c(C)n(C)c2ncnc(Nc3cccc(Cl)c3)c12";"IC50";"'='";"450000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL677832";"Inhibitory activity against epidermal growth factor receptor tyrosine kinase.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130217";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None"
"CHEMBL2437467";"";"0";"427.42";"0";"2.14";"3v";"C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(C(N)=O)cc4)nc32)c1";"IC50";"'='";"12.1";"nM";"7.92";"";"";"UO_0000065";"18.52";"0.34";"5.78";"5.46";"False";"CHEMBL2439336";"Inhibition of wild type EGFR (unknown origin) using Tyr 4 peptide as substrate after 1.5 hrs by FRET-based Z'-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434822";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None"
"CHEMBL2437463";"";"0";"467.53";"0";"4.03";"3r";"C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCCCC5)cc4)nc32)c1";"IC50";"'='";"15.7";"nM";"7.80";"";"";"UO_0000065";"16.69";"0.30";"3.77";"7.43";"False";"CHEMBL2439336";"Inhibition of wild type EGFR (unknown origin) using Tyr 4 peptide as substrate after 1.5 hrs by FRET-based Z'-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434822";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None"
"CHEMBL2437488";"";"0";"384.40";"0";"3.04";"3k";"C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccccc4)nc32)c1";"IC50";"'='";"12.8";"nM";"7.89";"";"";"UO_0000065";"20.53";"0.37";"4.85";"7.75";"False";"CHEMBL2439336";"Inhibition of wild type EGFR (unknown origin) using Tyr 4 peptide as substrate after 1.5 hrs by FRET-based Z'-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434822";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None"
"CHEMBL2437487";"";"0";"384.40";"0";"3.04";"3j";"C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccccc4)nc32)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL2439336";"Inhibition of wild type EGFR (unknown origin) using Tyr 4 peptide as substrate after 1.5 hrs by FRET-based Z'-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434822";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None"
"CHEMBL2437477";"";"0";"414.43";"0";"3.05";"2f";"C=CC(=O)Nc1ccc(Nc2ncc3ncc(=O)n(-c4ccc(OC)cc4)c3n2)cc1";"IC50";"'='";"33885.0";"nM";"4.47";"";"";"UO_0000065";"10.79";"0.20";"1.42";"4.03";"False";"CHEMBL2439336";"Inhibition of wild type EGFR (unknown origin) using Tyr 4 peptide as substrate after 1.5 hrs by FRET-based Z'-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434822";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None"
"CHEMBL2437476";"";"0";"414.43";"0";"3.05";"2e";"C=CC(=O)Nc1cccc(Nc2ncc3ncc(=O)n(-c4ccc(OC)cc4)c3n2)c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL2439336";"Inhibition of wild type EGFR (unknown origin) using Tyr 4 peptide as substrate after 1.5 hrs by FRET-based Z'-LYTE assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434822";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None"
"CHEMBL314811";"";"0";"222.25";"0";"3.00";"5";"Oc1ccc2cc(-c3ccncc3)cnc2c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL676155";"Inhibition of Epidermal growth factor receptor tyrosine kinase (Not determined)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127615";"1";"Scientific Literature";"J. Med. Chem.";"1994";"None"
"CHEMBL1641997";"";"0";"433.27";"1";"5.46";"16";"N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)c3ccoc3)ccc12";"IC50";"'='";"45200.0";"nM";"4.34";"";"";"UO_0000065";"10.03";"0.21";"-1.12";"4.78";"False";"CHEMBL1646349";"Inhibition of EGFR by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641579";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"None"
"CHEMBL56393";"";"0";"297.27";"0";"2.30";"24";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1";"IC50";"'='";"5000.0";"nM";"5.30";"";"";"UO_0000065";"17.83";"0.33";"3.00";"4.35";"True";"CHEMBL676152";"In vitro inhibition of HER1 autophosphorylation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None"
"CHEMBL2426391";"";"0";"446.51";"0";"4.81";"9b";"COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)cc1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2427171";"Inhibition of human C-terminal EGFR tyrosine kinase domain";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424530";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2013";"None"
"CHEMBL121190";"";"0";"260.69";"0";"2.28";"6";"Nc1[nH]cnc2nnc(Nc3cccc(Cl)c3)c1-2";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"26.07";"0.52";"4.52";"7.35";"False";"CHEMBL677832";"Inhibitory activity against epidermal growth factor receptor tyrosine kinase.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130217";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None"
"CHEMBL120979";"";"0";"366.81";"0";"4.50";"14";"COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"22.07";"0.43";"3.60";"9.23";"False";"CHEMBL677832";"Inhibitory activity against epidermal growth factor receptor tyrosine kinase.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130217";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None"
"CHEMBL3671513";"";"0";"529.37";"1";"4.26";"BDBM133724";"C=CCNC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C";"IC50";"'='";"19.0";"nM";"7.72";"";"266751";"UO_0000065";"14.59";"0.31";"3.46";"6.58";"False";"CHEMBL3705421";"Tyrosine Kinase Assay: EGFR1 (HER-1) enzyme assay was carried out by using Tyrosine Kinase Assay Kit Green. The entire assay was conducted in accordance with EGFR PTK inhibitor cellular activity test S.O.P.A typical kinase inhibition reaction requires a protein tyrosine kinase, a suitable buffer solution system, a peptide substrate and ATP. In the present EGFR tyrosine kinase assay, a buffer solution system containing 20 mM HEPES (pH 7.4), 5 mM MgCl2 and 2 mM MnCl2; 50 uM Na3VO4; 50 ng/10 ul EGFR (Proquinase); 100 uM ATP; and 10 ng/ml poly(Glu, Tyr) (4:1, Sigma) as a substrate were used.First, 10 ul of EGFR was added to each well of a 96-well plate, 10 ul of the test compounds diluted as described in Test Example 2 (Examples 1 to 173) was added to each well, and the plate was incubated at room temperature for 10 min. The compounds of Test Example 1 were used as control compounds at a concentration of 0.0001 to 10 uM.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638799";"37";"BindingDB Database";"";"2014";"None"
"CHEMBL128000";"BUTEIN";"0";"272.26";"0";"2.41";"Butein";"O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O";"IC50";"'='";"16000.0";"nM";"4.80";"";"";"UO_0000065";"17.62";"0.33";"2.39";"4.89";"False";"CHEMBL1003093";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156625";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None"
"CHEMBL335931";"";"0";"623.71";"2";"5.12";"16";"CO[C@H]1[C@@H](N(C)C(=O)CNC(=O)OC(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"8.75";"0.16";"0.34";"4.70";"False";"CHEMBL677890";"Inhibitory activity against protein tyrosine kinase of Epidermal growth factor receptor was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127758";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1994";"None"
"CHEMBL308210";"";"0";"371.44";"1";"5.50";"17g";"COc1cc2cc(-c3ccc(OCc4ccccc4)cc3)cnc2cc1OC";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL679946";"Concentration required to inhibit phosphorylation of isolated human epidermal growth factor tyrosine kinase receptor by 50%";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127568";"1";"Scientific Literature";"J. Med. Chem.";"1994";"None"
"CHEMBL31588";"";"0";"484.40";"0";"4.98";"9";"C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCN(C)C";"IC50";"'='";"3.9";"nM";"8.41";"";"";"UO_0000065";"17.36";"0.37";"3.43";"10.59";"False";"CHEMBL674020";"Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133162";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None"
"CHEMBL264382";"";"0";"602.70";"1";"4.41";"28d";"Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"14.86";"0.27";"4.55";"6.93";"False";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None"
"CHEMBL2205028";"";"0";"497.42";"0";"4.17";"Table 45, R7C1";"O=S1(=O)N=S(c2ccc(Br)cc2)c2ccc(NS(=O)(=O)c3ccccc3)cc21";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2208688";"Inhibition of HER1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2203023";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None"
"CHEMBL258694";"";"0";"374.41";"0";"3.83";"12";"Cc1nnc(-c2cn3ncnc(Nc4cnc5[nH]ccc5c4)c3c2C(C)C)o1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"18.23";"0.33";"2.99";"6.21";"False";"CHEMBL929426";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145598";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL47940";"";"0";"370.46";"1";"5.59";"6";"Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1";"IC50";"'='";"3200.0";"nM";"5.50";"";"";"UO_0000065";"14.83";"0.27";"-0.10";"8.33";"False";"CHEMBL679674";"Inhibition of Epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132739";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2000";"None"
"CHEMBL256297";"";"0";"401.83";"0";"4.15";"29";"CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"19.71";"0.39";"3.77";"8.37";"False";"CHEMBL934832";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145585";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL402113";"";"0";"373.42";"0";"3.18";"19";"CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2ccccc2)c1";"IC50";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"19.70";"0.36";"4.18";"7.13";"False";"CHEMBL934832";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145585";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL91811";"";"0";"452.36";"0";"4.42";"10d";"CC(C)N(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"85.0";"nM";"7.07";"";"";"UO_0000065";"15.63";"0.33";"2.65";"10.08";"False";"CHEMBL680018";"Inhibition of epidermal growth factor receptor using enzyme assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134561";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None"
"CHEMBL266182";"";"0";"608.56";"3";"-0.73";"5s";"O=C1c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C(=O)N1NCC(O)CO";"IC50";"'='";"180000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL675381";"In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131686";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None"
"CHEMBL67057";"";"0";"559.63";"1";"4.82";"28b";"Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21";"IC50";"'='";"4.5";"nM";"8.35";"";"";"UO_0000065";"14.91";"0.27";"3.53";"7.12";"False";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None"
"CHEMBL80809";"";"0";"456.58";"0";"4.81";"41";"CC(=O)NCCNCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"18.18";"0.34";"3.49";"8.76";"False";"CHEMBL674107";"Inhibitory activity against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None"
"CHEMBL92731";"";"0";"482.43";"1";"5.75";"16c";"CCCN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"14.60";"0.31";"1.30";"10.04";"False";"CHEMBL680018";"Inhibition of epidermal growth factor receptor using enzyme assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134561";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None"
"CHEMBL323775";"";"0";"524.45";"2";"5.91";"67";"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OCCN4CCCCC4)cc3)nc21";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL680020";"Inhibition of epidermal growth factor receptor (EGFr) tyrosine kinase activity";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131066";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None"
"CHEMBL117055";"";"0";"441.53";"0";"4.09";"24";"CCOc1ccc2nc(SCc3cc(/C=C(\C#N)C(N)=O)cc(OC)c3O)sc2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL689288";"Inhibition of polyGAT phosphorylation by EGF receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126897";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None"
"CHEMBL157128";"";"0";"518.42";"1";"4.67";"23";"COCC1CCCN1CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"13.16";"0.27";"2.15";"7.56";"True";"CHEMBL680028";"Inhibition of autophosphorylation of cytoplasmic domain of epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145020";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None"
"CHEMBL325589";"";"0";"398.25";"0";"4.44";"40";"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"15.80";"0.32";"1.85";"8.66";"False";"CHEMBL680019";"Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131066";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None"
"CHEMBL345109";"";"0";"497.40";"0";"3.70";"25";"CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"0.44";"nM";"9.36";"";"";"UO_0000065";"18.81";"0.40";"5.66";"9.43";"False";"CHEMBL673925";"Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme (from human A431 carcinoma cell vesicles)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134843";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None"
"CHEMBL8163";"";"0";"581.15";"2";"5.27";"9";"O=C1NC(=O)c2cc(Nc3ccc(I)cc3)c(Nc3ccc(I)cc3)cc21";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL679549";"Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127678";"1";"Scientific Literature";"J. Med. Chem.";"1994";"None"
